timestamp,srcip,dstip,sport,dsport,proto,length
1747810195.550497,d2afdf90313e44c46512f3b5744ba6b26e8457c1cf7b13b366b5c6b341dd7fea,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,45908,TCP,74
1747810195.550514,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d2afdf90313e44c46512f3b5744ba6b26e8457c1cf7b13b366b5c6b341dd7fea,45908,443,TCP,54
1747810195.55179,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,38836,TCP,66
1747810195.59744,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,38836,TCP,371
1747810195.597441,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,38836,TCP,97
1747810195.597471,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,66
1747810195.597484,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,66
1747810195.600571,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,647
1747810195.601293,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,97
1747810195.65711,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,101
1747810195.657133,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810195.658745,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,101
1747810195.658745,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,66
1747810195.658754,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810195.661293,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,a7467c79d4555f476eadddc2122a448801f4eed77c7cba0f2a1b6754b5c60560,44304,443,TCP,74
1747810195.66208,b16cd10442c25771c3bd69ebbb667f622db24f36ca7cacd7aaff0a596b4ae2df,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,43388,TCP,74
1747810195.662092,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,b16cd10442c25771c3bd69ebbb667f622db24f36ca7cacd7aaff0a596b4ae2df,43388,443,TCP,54
1747810195.829528,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,38836,TCP,66
1747810195.851893,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,38836,TCP,811
1747810195.852369,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,38836,TCP,97
1747810195.852652,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,66
1747810195.895469,a7467c79d4555f476eadddc2122a448801f4eed77c7cba0f2a1b6754b5c60560,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,44304,TCP,74
1747810195.895502,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,a7467c79d4555f476eadddc2122a448801f4eed77c7cba0f2a1b6754b5c60560,44304,443,TCP,66
1747810195.895796,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,a7467c79d4555f476eadddc2122a448801f4eed77c7cba0f2a1b6754b5c60560,44304,443,TCP,583
1747810195.918957,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,147
1747810195.918977,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810196.000827,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,661
